start,end,count,reverse
Howard at Beale,"SF Caltrain, Townsend at 4th ",530,644
Davis at Jackson,Market at 4th,76,106
SF Ferry Building,Howard at 2nd,92,127
Davis at Jackson,Howard at 2nd,74,33
Post at Kearney,Embarcadero at Folsom,32,26
Powell at Post (Union Square),Washington at Kearney,55,42
Paseo de San Antonio,SJSU - San Salvador at 9th,68,0
San Mateo County Center,Redwood City Medical Center,22,21
Howard at 2nd,Townsend at 7th,78,36
Spear at Folsom,Powell Street BART,63,43
Clay at Battery,Market at 4th,115,92
Powell at Post (Union Square),Embarcadero at Bryant,21,19
Embarcadero at Folsom,Market at 4th,53,39
San Jose City Hall,SJ Diridon Caltrain,132,139
Adobe on Almaden,SJSU - San Salvador at 9th,2,0
SJ Diridon Caltrain,SJSU 4th at San Carlos,36,20
San Antonio Caltrain Station,Rengstorff at California,79,48
2nd at Folsom,Embarcadero at Vallejo,20,14
2nd at Townsend,Spear at Folsom,201,307
Powell Street BART,Washington at Kearney,50,71
2nd at South Park,SF Caltrain at 330 Townsend,218,60
3rd at Howard,3rd at Howard,97,97
Howard at 2nd,7th at Market,48,17
SJSU - San Salvador at 9th,San Pedro Square,23,0
2nd at Folsom,South Van Ness at Market,22,31
"SF Caltrain, Townsend at 4th ",Grant at Columbus,158,313
5th at Howard,Post at Kearney,50,58
MLK Library,St James Park,18,13
San Jose City Hall,SJSU - San Salvador at 9th,25,0
Commercial at Montgomery,Post at Kearney,92,62
SJ Diridon Caltrain,Paseo de San Antonio,236,196
Powell at Post (Union Square),3rd at Howard,51,42
3rd at Howard,Market at 10th,125,122
Howard at Beale,5th at Howard,238,96
Broadway St at Battery St,Clay at Battery,10,5
Washington at Kearney,Beale at Market,58,35
Market at 10th,Market at 4th,516,365
Embarcadero at Bryant,2nd at Townsend,152,101
Embarcadero at Sansome,Commercial at Montgomery,110,77
Embarcadero at Folsom,Howard at Beale,17,23
Post at Kearney,7th at Market,50,48
Broadway at Main,Franklin at Maple,6,10
Arena Green / SAP Center,SJSU - San Salvador at 9th,8,0
Santa Clara at Almaden,San Jose City Hall,8,14
SF Ferry Building,Golden Gate at Polk,21,32
Clay at Battery,Market at Battery,117,39
Clay at Battery,SF Ferry Building,99,86
Townsend at 7th,Embarcadero at Folsom,43,65
Embarcadero at Folsom,Washington at Kearney,94,95
Embarcadero at Folsom,Market at 10th,8,13
Mountain View Caltrain,Rengstorff at California,94,90
MLK Library,San Pedro Square,33,48
7th at Market,Broadway St at Battery St,4,7
7th at Market,Embarcadero at Sansome,148,133
Howard at 2nd,Steuart at Market,163,178
Japantown,San Jose Government Center,11,9
Market at 4th,South Van Ness at Market,252,285
Commercial at Montgomery,Townsend at 7th,13,8
Embarcadero at Folsom,Powell at Post (Union Square),32,19
Embarcadero at Bryant,Embarcadero at Bryant,168,168
7th at Market,Spear at Folsom,21,41
Davis at Jackson,Beale at Market,124,100
Japantown,San Pedro Square,68,81
Clay at Battery,Post at Kearney,42,40
San Salvador at 1st,San Jose Civic Center,21,18
Embarcadero at Folsom,SF Caltrain at 330 Townsend,284,118
Howard at 2nd,Beale at Market,39,61
2nd at South Park,Beale at Market,69,108
Powell Street BART,5th at Howard,72,82
Powell at Post (Union Square),Embarcadero at Vallejo,46,53
Townsend at 7th,Powell at Post (Union Square),55,126
Market at Sansome,South Van Ness at Market,160,353
2nd at Folsom,Washington at Kearney,37,11
Powell at Post (Union Square),South Van Ness at Market,48,44
Embarcadero at Sansome,South Van Ness at Market,94,93
7th at Market,Townsend at 7th,345,360
SF Ferry Building,Steuart at Market,22,25
Market at 10th,Washington at Kearney,92,76
SF Caltrain at 330 Townsend,Townsend at 7th,1116,309
"SF Caltrain, Townsend at 4th ",Market at Battery,206,127
Powell at Post (Union Square),Grant at Columbus,109,109
Adobe on Almaden,Paseo de San Antonio,16,17
Palo Alto Caltrain Station,Mountain View Caltrain,2,6
Arena Green / SAP Center,Santa Clara at Almaden,113,118
Commercial at Montgomery,3rd at Howard,56,42
Beale at Market,Post at Kearney,40,35
Broadway St at Battery St,Howard at Beale,1,1
Market at Sansome,SF Ferry Building,408,294
Embarcadero at Vallejo,Spear at Folsom,107,104
Steuart at Market,Davis at Jackson,80,42
2nd at Folsom,2nd at South Park,238,130
San Jose City Hall,MLK Library,74,42
7th at Market,2nd at Folsom,60,70
2nd at Townsend,Market at 10th,44,54
Broadway St at Battery St,7th at Market,7,4
Townsend at 7th,Howard at Beale,178,244
3rd at Howard,Townsend at 7th,55,42
Grant at Columbus,Spear at Folsom,123,66
Davis at Jackson,Steuart at Market,42,80
Grant at Columbus,Powell at Post (Union Square),109,109
5th at Howard,Powell at Post (Union Square),40,39
Clay at Battery,Clay at Battery,115,115
Embarcadero at Bryant,SF Ferry Building,403,293
3rd at Howard,2nd at Townsend,62,105
Beale at Market,Powell Street BART,71,49
Howard at 2nd,2nd at South Park,317,236
Clay at Battery,Embarcadero at Folsom,61,20
SJSU - San Salvador at 9th,San Salvador at 1st,35,0
Market at 10th,3rd at Howard,122,125
San Pedro Square,Paseo de San Antonio,58,48
MLK Library,Adobe on Almaden,12,21
7th at Market,Market at 10th,199,166
Embarcadero at Bryant,Grant at Columbus,35,51
Embarcadero at Sansome,Embarcadero at Vallejo,198,316
Embarcadero at Folsom,2nd at Folsom,13,35
7th at Market,South Van Ness at Market,367,389
Commercial at Montgomery,Davis at Jackson,178,66
Palo Alto Caltrain Station,California Ave Caltrain Station,81,67
SJ Diridon Caltrain,San Salvador at 1st,72,79
Beale at Market,Embarcadero at Bryant,82,46
Market at Battery,Grant at Columbus,60,199
Grant at Columbus,Steuart at Market,186,120
2nd at Folsom,Embarcadero at Bryant,60,37
Embarcadero at Bryant,Howard at 2nd,90,103
2nd at South Park,Grant at Columbus,50,58
San Pedro Square,St James Park,40,55
Golden Gate at Polk,Commercial at Montgomery,26,13
San Antonio Shopping Center,7th at Market,1,0
3rd at Howard,Market at Sansome,142,93
San Antonio Shopping Center,Castro Street and El Camino Real,3,4
Santa Clara at Almaden,Adobe on Almaden,10,7
Golden Gate at Polk,Market at Battery,28,28
Spear at Folsom,Embarcadero at Bryant,80,112
Howard at Beale,Post at Kearney,70,68
San Jose City Hall,San Jose City Hall,67,67
Broadway St at Battery St,Market at Sansome,10,18
2nd at Townsend,Embarcadero at Vallejo,155,158
Grant at Columbus,Townsend at 7th,49,15
Davis at Jackson,3rd at Howard,9,13
Powell at Post (Union Square),Market at Battery,73,82
Market at Battery,San Francisco City Hall,31,16
Powell at Post (Union Square),Clay at Battery,51,78
Embarcadero at Bryant,3rd at Howard,54,48
Market at Battery,"SF Caltrain, Townsend at 4th ",127,206
Golden Gate at Polk,2nd at South Park,27,19
SF Ferry Building,Powell Street BART,142,125
SJ Diridon Caltrain,Arena Green / SAP Center,17,9
Market at Sansome,Townsend at 7th,91,102
San Antonio Shopping Center,San Antonio Caltrain Station,59,48
Embarcadero at Folsom,Powell Street BART,46,27
San Pedro Square,Arena Green / SAP Center,33,66
Howard at 2nd,San Francisco City Hall,8,6
Embarcadero at Vallejo,SF Caltrain at 330 Townsend,41,34
Grant at Columbus,Embarcadero at Sansome,133,160
Spear at Folsom,Embarcadero at Folsom,23,9
Steuart at Market,Howard at Beale,59,36
Grant at Columbus,7th at Market,52,25
Howard at Beale,Steuart at Market,36,59
Grant at Columbus,SF Ferry Building,148,153
SF Ferry Building,Embarcadero at Bryant,293,403
7th at Market,2nd at South Park,81,31
Broadway St at Battery St,Post at Kearney,1,3
Clay at Battery,Commercial at Montgomery,25,34
Howard at 2nd,Howard at Beale,34,133
2nd at Folsom,Embarcadero at Sansome,64,35
2nd at Folsom,3rd at Howard,59,37
SJSU 4th at San Carlos,San Jose City Hall,25,35
San Jose Government Center,Adobe on Almaden,1,0
Market at Battery,Steuart at Market,156,142
St James Park,SJSU 4th at San Carlos,20,23
Market at 10th,San Francisco City Hall,14,19
California Ave Caltrain Station,San Antonio Caltrain Station,29,16
SJSU 4th at San Carlos,San Jose Government Center,1,0
"SF Caltrain, Townsend at 4th ",Embarcadero at Vallejo,195,180
University and Emerson,Mountain View Caltrain,2,1
Market at 10th,SF Caltrain at 330 Townsend,90,243
Market at 4th,Market at 10th,365,516
Townsend at 7th,Howard at 2nd,36,78
5th at Howard,Broadway St at Battery St,1,0
Embarcadero at Sansome,SF Ferry Building,671,1330
San Francisco City Hall,2nd at Townsend,16,13
Embarcadero at Vallejo,Embarcadero at Bryant,184,232
2nd at South Park,Powell at Post (Union Square),82,97
7th at Market,Post at Kearney,48,50
5th at Howard,Market at 4th,85,64
Arena Green / SAP Center,San Jose City Hall,6,2
Howard at 2nd,Embarcadero at Bryant,103,90
Powell Street BART,Howard at Beale,98,121
SJ Diridon Caltrain,SJSU - San Salvador at 9th,103,0
Powell Street BART,Post at Kearney,56,71
Commercial at Montgomery,Spear at Folsom,60,68
7th at Market,Embarcadero at Folsom,7,14
Market at 10th,Embarcadero at Sansome,36,37
Washington at Kearney,Powell Street BART,71,50
Grant at Columbus,Washington at Kearney,43,45
Commercial at Montgomery,Embarcadero at Folsom,58,46
Powell Street BART,Howard at 2nd,52,101
Commercial at Montgomery,Beale at Market,142,146
Embarcadero at Bryant,7th at Market,29,24
SF Ferry Building,Market at 4th,261,319
Mountain View Caltrain,Cowper at University,2,2
St James Park,San Jose Civic Center,12,8
5th at Howard,Commercial at Montgomery,68,63
Embarcadero at Folsom,Broadway St at Battery St,4,3
Davis at Jackson,Powell at Post (Union Square),63,82
San Jose City Hall,Santa Clara at Almaden,14,8
Embarcadero at Folsom,Beale at Market,18,55
Clay at Battery,"SF Caltrain, Townsend at 4th ",193,211
5th at Howard,South Van Ness at Market,112,110
Powell Street BART,Spear at Folsom,43,63
Embarcadero at Sansome,Powell at Post (Union Square),162,207
Castro Street and El Camino Real,Mountain View City Hall,10,3
SF Ferry Building,Market at 10th,46,84
Embarcadero at Vallejo,Commercial at Montgomery,18,10
Santa Clara at Almaden,San Jose Civic Center,20,15
Paseo de San Antonio,SJ Diridon Caltrain,196,236
Commercial at Montgomery,7th at Market,29,24
SJSU 4th at San Carlos,San Salvador at 1st,34,43
Post at Kearney,2nd at South Park,139,154
St James Park,San Jose City Hall,17,15
Embarcadero at Vallejo,Market at 4th,85,89
SF Ferry Building,Davis at Jackson,122,62
SJSU - San Salvador at 9th,Arena Green / SAP Center,11,0
Golden Gate at Polk,Spear at Folsom,11,15
SJSU - San Salvador at 9th,San Jose Civic Center,11,0
Embarcadero at Bryant,Steuart at Market,188,288
Powell Street BART,SF Caltrain at 330 Townsend,370,521
Paseo de San Antonio,Adobe on Almaden,17,16
Embarcadero at Vallejo,Embarcadero at Folsom,51,61
San Antonio Caltrain Station,Palo Alto Caltrain Station,4,12
Beale at Market,Davis at Jackson,100,124
Townsend at 7th,Spear at Folsom,53,89
SF Caltrain at 330 Townsend,Howard at 2nd,150,197
SJ Diridon Caltrain,SJ Diridon Caltrain,69,69
5th at Howard,Embarcadero at Vallejo,19,22
Japantown,Paseo de San Antonio,54,103
Embarcadero at Folsom,Grant at Columbus,51,239
South Van Ness at Market,Grant at Columbus,38,72
Grant at Columbus,South Van Ness at Market,72,38
University and Emerson,San Antonio Shopping Center,3,2
San Francisco City Hall,Spear at Folsom,17,10
7th at Market,3rd at Howard,40,50
Market at 10th,Grant at Columbus,57,105
SF Ferry Building,SF Ferry Building,550,550
2nd at South Park,Golden Gate at Polk,19,27
Commercial at Montgomery,Powell at Post (Union Square),61,34
Washington at Kearney,Market at 10th,76,92
Mountain View Caltrain,California Ave Caltrain Station,1,3
2nd at Folsom,Golden Gate at Polk,6,4
Embarcadero at Vallejo,Embarcadero at Vallejo,185,185
Post at Kearney,Townsend at 7th,55,81
7th at Market,5th at Howard,74,95
Davis at Jackson,Powell Street BART,77,32
Washington at Kearney,2nd at Townsend,16,27
San Antonio Shopping Center,Rengstorff at California,1,1
Golden Gate at Polk,Townsend at 7th,117,125
"SF Caltrain, Townsend at 4th ",Golden Gate at Polk,126,231
San Antonio Shopping Center,Mountain View City Hall,6,4
Clay at Battery,Spear at Folsom,56,55
SF Caltrain at 330 Townsend,2nd at South Park,60,218
Steuart at Market,Embarcadero at Bryant,288,188
SF Ferry Building,Clay at Battery,86,99
Powell Street BART,2nd at Folsom,109,118
2nd at South Park,Howard at Beale,217,211
Market at Sansome,Embarcadero at Vallejo,83,35
Market at Sansome,Spear at Folsom,134,65
Grant at Columbus,Davis at Jackson,91,86
Beale at Market,Powell at Post (Union Square),46,82
Grant at Columbus,Howard at Beale,121,82
Broadway St at Battery St,Davis at Jackson,1,3
San Francisco City Hall,Beale at Market,27,24
Arena Green / SAP Center,Adobe on Almaden,9,8
Townsend at 7th,SF Ferry Building,274,230
Steuart at Market,San Francisco City Hall,21,26
Franklin at Maple,Palo Alto Caltrain Station,2,0
Howard at Beale,Golden Gate at Polk,103,100
Embarcadero at Sansome,Davis at Jackson,177,236
2nd at Folsom,Beale at Market,48,31
Howard at Beale,SF Ferry Building,179,136
Grant at Columbus,Commercial at Montgomery,66,66
Market at 10th,Beale at Market,56,51
Washington at Kearney,Broadway St at Battery St,4,1
San Francisco City Hall,Howard at 2nd,6,8
Market at 10th,Davis at Jackson,25,18
California Ave Caltrain Station,Park at Olive,27,22
South Van Ness at Market,SF Caltrain at 330 Townsend,71,134
Beale at Market,Steuart at Market,26,11
2nd at Folsom,Davis at Jackson,37,14
Embarcadero at Sansome,Clay at Battery,167,149
Arena Green / SAP Center,Japantown,11,15
Post at Kearney,Spear at Folsom,93,68
Embarcadero at Bryant,South Van Ness at Market,9,12
Golden Gate at Polk,Powell Street BART,72,100
Park at Olive,Cowper at University,14,13
Market at Sansome,"SF Caltrain, Townsend at 4th ",448,480
Davis at Jackson,Townsend at 7th,19,14
2nd at South Park,3rd at Howard,126,116
Spear at Folsom,7th at Market,41,21
2nd at Townsend,Embarcadero at Sansome,283,233
Townsend at 7th,2nd at South Park,67,161
University and Emerson,Park at Olive,43,45
Spear at Folsom,Market at 4th,105,151
Market at 10th,Market at Sansome,219,113
Market at Battery,Beale at Market,17,16
SJSU 4th at San Carlos,SJSU 4th at San Carlos,35,35
Market at Sansome,Davis at Jackson,253,120
California Ave Caltrain Station,Palo Alto Caltrain Station,67,81
Arena Green / SAP Center,San Jose Government Center,4,1
Powell Street BART,Powell Street BART,150,150
Embarcadero at Sansome,Washington at Kearney,100,108
SJSU 4th at San Carlos,Adobe on Almaden,8,6
South Van Ness at Market,Davis at Jackson,20,18
Clay at Battery,Beale at Market,52,30
Townsend at 7th,3rd at Howard,42,55
Cowper at University,Cowper at University,47,47
Washington at Kearney,Grant at Columbus,45,43
Market at 4th,Market at Sansome,164,164
Market at Battery,Embarcadero at Sansome,143,175
South Van Ness at Market,San Francisco City Hall,51,73
San Salvador at 1st,Japantown,14,25
Howard at Beale,2nd at Townsend,487,317
"SF Caltrain, Townsend at 4th ",5th at Howard,248,512
St James Park,St James Park,22,22
Embarcadero at Bryant,Post at Kearney,29,27
5th at Howard,Washington at Kearney,30,19
SF Ferry Building,South Van Ness at Market,56,58
Market at Battery,Market at Sansome,46,33
Howard at 2nd,2nd at Townsend,220,219
Broadway St at Battery St,Grant at Columbus,1,5
SF Caltrain at 330 Townsend,SF Ferry Building,234,307
5th at Howard,SF Ferry Building,82,92
San Jose Civic Center,SJSU 4th at San Carlos,5,7
SF Caltrain at 330 Townsend,Grant at Columbus,18,99
South Van Ness at Market,Washington at Kearney,37,16
Santa Clara at Almaden,MLK Library,7,14
San Francisco City Hall,Grant at Columbus,24,16
Embarcadero at Vallejo,Market at Sansome,35,83
Howard at 2nd,Embarcadero at Vallejo,50,37
Washington at Kearney,Powell at Post (Union Square),42,55
Broadway St at Battery St,Embarcadero at Folsom,3,4
Market at 4th,Market at 4th,216,216
Market at 10th,2nd at Townsend,54,44
Embarcadero at Vallejo,Washington at Kearney,16,29
Steuart at Market,"SF Caltrain, Townsend at 4th ",538,609
Grant at Columbus,Post at Kearney,106,150
Clay at Battery,Powell at Post (Union Square),78,51
Davis at Jackson,Embarcadero at Bryant,47,57
Davis at Jackson,Davis at Jackson,149,149
Embarcadero at Sansome,Embarcadero at Folsom,204,247
Embarcadero at Folsom,Howard at 2nd,76,34
San Antonio Caltrain Station,University and Emerson,5,8
SF Caltrain at 330 Townsend,Embarcadero at Vallejo,34,41
Washington at Kearney,Commercial at Montgomery,13,31
2nd at Folsom,SF Caltrain at 330 Townsend,181,125
Powell at Post (Union Square),5th at Howard,39,40
Powell Street BART,7th at Market,208,127
7th at Market,Market at Battery,29,120
Clay at Battery,Powell Street BART,79,54
South Van Ness at Market,Howard at 2nd,119,113
Howard at 2nd,Embarcadero at Sansome,122,129
2nd at Folsom,Embarcadero at Folsom,35,13
Howard at Beale,Davis at Jackson,68,79
Market at 10th,2nd at Folsom,35,24
Powell Street BART,3rd at Howard,35,45
Broadway St at Battery St,Washington at Kearney,1,4
Davis at Jackson,7th at Market,13,14
Market at 4th,Howard at Beale,142,186
Market at Sansome,Powell at Post (Union Square),53,72
Park at Olive,Mountain View City Hall,6,6
2nd at Folsom,Clay at Battery,107,53
Beale at Market,Broadway St at Battery St,6,7
San Jose Government Center,San Pedro Square,3,2
Washington at Kearney,Washington at Kearney,89,89
Paseo de San Antonio,San Pedro Square,48,58
Howard at Beale,Townsend at 7th,244,178
7th at Market,Powell Street BART,127,208
Powell Street BART,"SF Caltrain, Townsend at 4th ",320,192
Powell Street BART,Commercial at Montgomery,97,205
Redwood City Caltrain Station,Redwood City Caltrain Station,41,41
SF Ferry Building,Market at Sansome,294,408
Golden Gate at Polk,Market at 4th,125,73
Adobe on Almaden,San Jose City Hall,10,25
Arena Green / SAP Center,SJSU 4th at San Carlos,6,2
Redwood City Caltrain Station,Cowper at University,1,0
Golden Gate at Polk,Post at Kearney,73,58
Howard at 2nd,South Van Ness at Market,113,119
Palo Alto Caltrain Station,Redwood City Caltrain Station,2,11
San Jose Civic Center,SJSU - San Salvador at 9th,17,0
Spear at Folsom,Embarcadero at Vallejo,104,107
Howard at Beale,Market at Sansome,143,131
Steuart at Market,SF Ferry Building,25,22
St James Park,Japantown,28,20
SF Caltrain at 330 Townsend,Embarcadero at Sansome,55,100
"SF Caltrain, Townsend at 4th ",2nd at Folsom,310,430
Golden Gate at Polk,Embarcadero at Sansome,48,91
Beale at Market,7th at Market,42,39
Embarcadero at Sansome,Howard at 2nd,129,122
Powell at Post (Union Square),Embarcadero at Folsom,19,32
Japantown,San Jose City Hall,42,38
Howard at Beale,San Francisco City Hall,7,4
3rd at Howard,Commercial at Montgomery,42,56
Powell at Post (Union Square),Davis at Jackson,82,63
SJSU - San Salvador at 9th,Adobe on Almaden,3,0
Post at Kearney,"SF Caltrain, Townsend at 4th ",122,123
Washington at Kearney,Howard at Beale,97,134
San Francisco City Hall,Embarcadero at Vallejo,10,16
Grant at Columbus,Market at Battery,199,60
San Pedro Square,San Jose Government Center,2,3
San Francisco City Hall,2nd at Folsom,7,14
Paseo de San Antonio,Japantown,103,54
"SF Caltrain, Townsend at 4th ",Townsend at 7th,568,1322
Market at 4th,Embarcadero at Folsom,39,53
Grant at Columbus,Embarcadero at Vallejo,45,81
Broadway St at Battery St,Broadway St at Battery St,6,6
Grant at Columbus,Beale at Market,120,63
MLK Library,San Jose City Hall,42,74
Steuart at Market,2nd at Townsend,654,474
3rd at Howard,Post at Kearney,37,33
Powell Street BART,Grant at Columbus,61,130
7th at Market,Embarcadero at Bryant,24,29
Adobe on Almaden,MLK Library,21,12
San Jose City Hall,Adobe on Almaden,25,10
7th at Market,Commercial at Montgomery,24,29
Embarcadero at Vallejo,Grant at Columbus,81,45
Embarcadero at Bryant,San Francisco City Hall,6,4
Howard at Beale,Commercial at Montgomery,191,142
Post at Kearney,Embarcadero at Sansome,114,99
2nd at South Park,Market at 10th,67,71
San Antonio Caltrain Station,Evelyn Park and Ride,4,2
"SF Caltrain, Townsend at 4th ",Embarcadero at Bryant,394,430
SF Caltrain at 330 Townsend,Golden Gate at Polk,79,19
Washington at Kearney,Golden Gate at Polk,14,8
Redwood City Medical Center,SJSU - San Salvador at 9th,1,0
Powell Street BART,Embarcadero at Sansome,167,192
San Pedro Square,San Jose Civic Center,33,26
Embarcadero at Vallejo,Beale at Market,188,170
Powell Street BART,Steuart at Market,88,69
"SF Caltrain, Townsend at 4th ",San Francisco City Hall,92,131
Embarcadero at Vallejo,Steuart at Market,176,152
Embarcadero at Folsom,Townsend at 7th,65,43
San Antonio Shopping Center,Park at Olive,2,3
Beale at Market,San Francisco City Hall,24,27
San Francisco City Hall,Market at 4th,119,53
Spear at Folsom,Washington at Kearney,50,23
Broadway St at Battery St,2nd at Folsom,1,9
Embarcadero at Sansome,Beale at Market,182,241
SJ Diridon Caltrain,MLK Library,120,60
5th at Howard,Davis at Jackson,12,15
2nd at Folsom,Spear at Folsom,241,137
Townsend at 7th,Golden Gate at Polk,125,117
"SF Caltrain, Townsend at 4th ",Market at 4th,232,443
5th at Howard,Spear at Folsom,105,138
San Antonio Shopping Center,San Antonio Shopping Center,6,6
Steuart at Market,Market at Battery,142,156
Howard at 2nd,SF Ferry Building,127,92
Market at Battery,Spear at Folsom,92,116
Embarcadero at Sansome,Grant at Columbus,160,133
3rd at Howard,Embarcadero at Sansome,58,87
2nd at Townsend,Powell at Post (Union Square),53,42
Powell at Post (Union Square),Embarcadero at Sansome,207,162
Clay at Battery,2nd at Townsend,109,72
"SF Caltrain, Townsend at 4th ",Davis at Jackson,252,263
Powell at Post (Union Square),Steuart at Market,127,71
Davis at Jackson,"SF Caltrain, Townsend at 4th ",263,252
Townsend at 7th,SF Caltrain at 330 Townsend,309,1116
Commercial at Montgomery,Clay at Battery,34,25
Powell Street BART,Clay at Battery,54,79
Castro Street and El Camino Real,San Antonio Shopping Center,4,3
Washington at Kearney,Embarcadero at Folsom,95,94
Golden Gate at Polk,Golden Gate at Polk,61,61
Market at 10th,2nd at South Park,71,67
7th at Market,Howard at Beale,66,91
"SF Caltrain, Townsend at 4th ",SF Ferry Building,782,598
Arena Green / SAP Center,Paseo de San Antonio,19,12
Townsend at 7th,Market at Battery,15,33
San Pedro Square,San Salvador at 1st,26,35
Embarcadero at Folsom,2nd at South Park,91,67
7th at Market,Beale at Market,39,42
Grant at Columbus,2nd at South Park,58,50
5th at Howard,Market at Sansome,136,140
Embarcadero at Sansome,SF Caltrain at 330 Townsend,100,55
Market at Battery,Embarcadero at Folsom,57,74
Spear at Folsom,Howard at 2nd,82,64
Howard at Beale,Howard at 2nd,133,34
Franklin at Maple,San Mateo County Center,1,0
SF Caltrain at 330 Townsend,Market at Sansome,181,299
San Salvador at 1st,SJSU 4th at San Carlos,43,34
2nd at South Park,Howard at 2nd,236,317
Broadway St at Battery St,SF Caltrain at 330 Townsend,1,4
Golden Gate at Polk,2nd at Folsom,4,6
Adobe on Almaden,Rengstorff at California,1,0
Davis at Jackson,Commercial at Montgomery,66,178
Arena Green / SAP Center,MLK Library,2,8
Park at Olive,California Ave Caltrain Station,22,27
7th at Market,Washington at Kearney,27,18
Washington at Kearney,Market at Battery,40,71
Park at Olive,San Antonio Caltrain Station,19,10
MLK Library,SJ Diridon Caltrain,60,120
Market at 10th,Powell at Post (Union Square),84,146
Market at Sansome,Steuart at Market,203,85
San Jose Government Center,Japantown,9,11
SF Ferry Building,Post at Kearney,148,158
Beale at Market,"SF Caltrain, Townsend at 4th ",342,197
"SF Caltrain, Townsend at 4th ",Howard at 2nd,427,443
Market at Sansome,Market at Battery,33,46
Steuart at Market,Market at 10th,62,119
Commercial at Montgomery,SF Ferry Building,220,218
SF Caltrain at 330 Townsend,Post at Kearney,61,84
5th at Howard,Howard at Beale,96,238
California Ave Caltrain Station,University and Emerson,73,46
Beale at Market,Market at Sansome,38,73
Beale at Market,Golden Gate at Polk,29,51
Golden Gate at Polk,Steuart at Market,70,40
SJSU 4th at San Carlos,Arena Green / SAP Center,2,6
Post at Kearney,Grant at Columbus,150,106
South Van Ness at Market,SF Ferry Building,58,56
Spear at Folsom,2nd at South Park,156,130
2nd at Townsend,Post at Kearney,114,89
Clay at Battery,Howard at Beale,207,188
SF Ferry Building,Howard at Beale,136,179
SF Caltrain at 330 Townsend,3rd at Howard,109,226
Cowper at University,Broadway at Main,3,0
Cowper at University,California Ave Caltrain Station,37,20
Howard at 2nd,5th at Howard,127,50
Adobe on Almaden,SJ Diridon Caltrain,180,175
Market at 10th,South Van Ness at Market,88,97
Washington at Kearney,SF Caltrain at 330 Townsend,51,46
2nd at Townsend,Market at 4th,92,123
SJSU 4th at San Carlos,San Jose Civic Center,7,5
2nd at Townsend,"SF Caltrain, Townsend at 4th ",266,306
Post at Kearney,5th at Howard,58,50
7th at Market,SF Caltrain at 330 Townsend,46,116
SF Ferry Building,2nd at Townsend,710,757
Powell at Post (Union Square),7th at Market,67,60
Howard at 2nd,Market at 4th,107,90
SF Caltrain at 330 Townsend,Howard at Beale,112,345
Powell Street BART,Embarcadero at Folsom,27,46
2nd at Townsend,7th at Market,21,26
SF Ferry Building,2nd at South Park,167,274
Powell Street BART,Market at 4th,70,63
Embarcadero at Sansome,Market at Battery,175,143
2nd at Folsom,Market at Battery,38,19
Commercial at Montgomery,Howard at 2nd,73,47
Post at Kearney,Davis at Jackson,41,43
Embarcadero at Bryant,"SF Caltrain, Townsend at 4th ",430,394
Beale at Market,Embarcadero at Folsom,55,18
Mountain View Caltrain,SJ Diridon Caltrain,1,0
San Jose Civic Center,SJ Diridon Caltrain,81,74
5th at Howard,Howard at 2nd,50,127
Powell at Post (Union Square),Commercial at Montgomery,34,61
Rengstorff at California,Park at Olive,4,3
Post at Kearney,San Francisco City Hall,54,74
South Van Ness at Market,Steuart at Market,94,48
Grant at Columbus,Grant at Columbus,158,158
Golden Gate at Polk,Beale at Market,51,29
Embarcadero at Bryant,Clay at Battery,136,59
Clay at Battery,South Van Ness at Market,31,34
Powell Street BART,University and Emerson,1,0
San Jose City Hall,Japantown,38,42
Park at Olive,Rengstorff at California,3,4
SF Caltrain at 330 Townsend,Embarcadero at Folsom,118,284
Howard at 2nd,Commercial at Montgomery,47,73
SJSU - San Salvador at 9th,San Jose City Hall,24,0
Embarcadero at Vallejo,Embarcadero at Sansome,316,198
Embarcadero at Folsom,Clay at Battery,20,61
Market at 4th,Golden Gate at Polk,73,125
Broadway St at Battery St,Embarcadero at Vallejo,1,5
Market at Battery,Howard at 2nd,27,21
Embarcadero at Sansome,2nd at Folsom,35,64
San Salvador at 1st,Adobe on Almaden,4,4
Santa Clara at Almaden,Paseo de San Antonio,31,27
Davis at Jackson,2nd at South Park,37,35
3rd at Howard,Powell Street BART,45,35
Market at 10th,SF Ferry Building,84,46
Beale at Market,Townsend at 7th,97,117
Clay at Battery,Davis at Jackson,42,29
Franklin at Maple,Franklin at Maple,23,23
Howard at 2nd,Grant at Columbus,53,52
Embarcadero at Folsom,Embarcadero at Bryant,163,117
Rengstorff at California,San Antonio Shopping Center,1,1
Redwood City Public Library,Franklin at Maple,7,8
2nd at Townsend,Washington at Kearney,27,16
Embarcadero at Vallejo,"SF Caltrain, Townsend at 4th ",180,195
SF Caltrain at 330 Townsend,2nd at Townsend,109,141
Townsend at 7th,Post at Kearney,81,55
Embarcadero at Vallejo,3rd at Howard,34,31
3rd at Howard,San Francisco City Hall,20,15
Golden Gate at Polk,Howard at 2nd,19,30
Howard at 2nd,3rd at Howard,57,20
Commercial at Montgomery,Commercial at Montgomery,78,78
Embarcadero at Folsom,Embarcadero at Vallejo,61,51
"SF Caltrain, Townsend at 4th ",Powell Street BART,192,320
South Van Ness at Market,Embarcadero at Folsom,43,23
"SF Caltrain, Townsend at 4th ",Beale at Market,197,342
Santa Clara at Almaden,San Salvador at 1st,11,12
