start,end,count,reverse
2nd at Townsend,South Van Ness at Market,59,64
2nd at South Park,Market at Sansome,798,866
3rd at Howard,Davis at Jackson,13,9
University and Emerson,University and Emerson,269,269
Embarcadero at Bryant,Embarcadero at Folsom,117,163
Post at Kearney,Commercial at Montgomery,62,92
Cowper at University,San Antonio Caltrain Station,4,2
Adobe on Almaden,San Jose Civic Center,24,16
Adobe on Almaden,Japantown,6,7
2nd at Folsom,7th at Market,70,60
San Francisco City Hall,Market at 10th,19,14
Adobe on Almaden,SJSU 4th at San Carlos,6,8
Arena Green / SAP Center,San Salvador at 1st,8,12
SF Ferry Building,Spear at Folsom,148,176
Townsend at 7th,Embarcadero at Bryant,65,142
Spear at Folsom,SF Caltrain at 330 Townsend,232,81
San Francisco City Hall,Post at Kearney,74,54
San Jose Civic Center,7th at Market,1,0
Broadway St at Battery St,2nd at Townsend,5,2
South Van Ness at Market,Powell at Post (Union Square),44,48
3rd at Howard,Steuart at Market,89,98
Howard at Beale,7th at Market,91,66
Redwood City Public Library,Cowper at University,2,1
Clay at Battery,Embarcadero at Sansome,149,167
"SF Caltrain, Townsend at 4th ",Broadway St at Battery St,28,22
Market at 4th,Steuart at Market,190,144
San Francisco City Hall,7th at Market,31,58
2nd at Folsom,San Francisco City Hall,14,7
Embarcadero at Vallejo,5th at Howard,22,19
Paseo de San Antonio,Santa Clara at Almaden,27,31
Commercial at Montgomery,Broadway St at Battery St,1,2
2nd at Folsom,2nd at Townsend,219,173
St James Park,SJ Diridon Caltrain,141,124
Powell Street BART,Embarcadero at Bryant,19,24
Howard at Beale,South Van Ness at Market,78,80
Clay at Battery,3rd at Howard,51,36
Golden Gate at Polk,Grant at Columbus,16,21
Grant at Columbus,Embarcadero at Bryant,51,35
"SF Caltrain, Townsend at 4th ",Embarcadero at Folsom,695,647
University and Emerson,California Ave Caltrain Station,46,73
Market at Sansome,Embarcadero at Folsom,70,50
Grant at Columbus,2nd at Folsom,118,90
Townsend at 7th,San Francisco City Hall,33,119
5th at Howard,San Francisco City Hall,15,18
SF Caltrain at 330 Townsend,Spear at Folsom,81,232
Market at Battery,Market at Battery,86,86
Japantown,San Salvador at 1st,25,14
San Pedro Square,SJSU 4th at San Carlos,18,21
San Antonio Caltrain Station,San Antonio Shopping Center,48,59
Market at Battery,Powell at Post (Union Square),82,73
Market at Battery,Powell Street BART,135,48
Commercial at Montgomery,South Van Ness at Market,51,69
Powell at Post (Union Square),SF Caltrain at 330 Townsend,75,46
Paseo de San Antonio,Arena Green / SAP Center,12,19
Spear at Folsom,"SF Caltrain, Townsend at 4th ",318,346
Townsend at 7th,Steuart at Market,44,65
7th at Market,San Francisco City Hall,58,31
Steuart at Market,Steuart at Market,148,148
Grant at Columbus,3rd at Howard,56,69
South Van Ness at Market,Beale at Market,45,36
